start_point,end_point
93800388265,004abe79a69996aa7a8168118b10136a805ad612e2b36c4a2262990e1bdafb1d
93800382700,02aa63404255b3ff9a97d128fa1f52404d7c8cc3e6d369b1b1aa7487fc4894d5
93800342457,0412f0f8018dfff159c11fc794d37cc4b6eb84b76697caf47c77706f63ff61e7
93800356780,1015a4bbfb7f931c9eda2727859cdfe8a360bac2f0236bab8e9abaaf3138589e
93800025655,11ffd43fc3cfd210809e90a2c9aa3f156ebb395ad2f77b700209e3e2dc2354ff
93800454708,12b52cbfb888ab6f90201f49713b90fcaec55dd8dc23987cb745b63cf21abbae
93800679220,1408ca6719e786deb39d98186a0c5fb934a612b7134ccfe3e8da543792899ebb
93800753034,186d9f30546b1115f5b3be09b3b14504f02dcbd24a4b2318e2e2f214dbb1dba4
93800918313,1b59e0a0f00c88cfc12612bf2a13d21f618cb221badac7245871eec3bc1ded23
93800533810,229855913490ad4945f1c04e9f4f437234162d0c2c94c1d7b6ed2e635d736766
93800162130,24a2815a11d2e64f3cc34164b0ac67244b8d59ebe5fd847cabc825f28fd923b5
93800910311,26911a7a406d05b231fd70052e902ac81b5bbe5a96d74896560de313ed400952
93800749052,2a7804d062fb6be4777b0dfa48544365dd884edb7e1dc0f1a4c10d2d6c2c05af
93800018864,2b2176cbbaa182b580aa885ca7378bf800bafd2e9bfe40493d19f27224f9a7bf
93800621188,2d71776710520dac3db505eb9a8d329940e7fe03ed24a8fb58df6e09ee58573d
93800353736,35282df6471b60da36b40e2e03dee70869d363c0f869811a120b856e22837557
93800230278,38ef833e1e4ed6eba0d4840d5929f1758730c7a053f3b0e6a00e09c2ecd6d81e
93800854989,39c09247791fa20774f34acfac3c83b20eb6f6c4f78924932a31c8bf95990eef
93800728706,3addf3179157128520e0492e322bb0e8cd165a8015ee2e5d54d3cf29db971451
93800451092,3e18f816eeb7181f1a415da323bbc799f4ed2462e0d524973bd971862b0bb1da
93800214578,42a741c4641eeb7f7443e977b3afc4583b48043d4896fb5c542356010961e99f
93800884673,486912ca7a7aaba1edff5b952afc021cf34bfb31ef531bfe58dea6d8c9c2b87a
93800573081,48b32f88fa0cfba1b338d0ffe04f271ce5e2c908c2237d9c189a0af315dfe092
93800216978,4964a03d02390fde9189b038e8cfcfccf3ff69bf17461fc33564b7482a0a9f3b
93800916914,515da16f1347717688c84f73f21b9918e990a886246b5476defe0aaa1ba07408
93800035680,51e1ada8666351623f81a595d185edb803fb7a2dcb13c97bf4aed638b5c82dbf
93800350072,5d707108d3c4db18c2c6c571971d29a0a2f573b047863e957e1565421b2d7204
93800431544,5e73e3b5613019e294d8367663430a95161e64a5118321cfc706098fc8986690
93800145849,61e0e68dfb691ee292dc207ac80844db930b683df36fcaf3240b609ab33cf1e1
93800439458,6c710b0b1f17480dd85bf95fe4ec8cdd03bc27d2e6853d2090dbb333d13611a0
93800811888,6e6dd3429d8ac273e4746e0a649cf0d14b2c4e47b007da750f0737e41c46b572
93800516288,6fcb853452c49833df90c540306fb865cbb549f0c2273903a3098c944003155c
93800845622,6fcb853452c49833df90c540306fb865cbb549f0c2273903a3098c944003155c
93800645338,70e5731bcb502ae34fce9840f095e7f0283820aeab6b761b4b25191d2a92c766
93800928429,772b6e0fcb0a5005e0142df27cdd5f630bfdd076004ffdec74b33190caa27d5d
93800293533,77a58fa5e6c096961ac922aa96e5dedff8b6083de13efa19f109feef476d8b47
93800541613,7895dd1579a9c218e6b40b9bb338f81f8bb8db848c35bac10410f13222af16b3
93800903289,7966744f4127883521604dd24ede9a0da880f06a1a6a47f107d92e5cf8c78cc2
93800763564,7a980755d040d9c4ef1b707c0173310961446aa2b0463924bdc7f9dd86ff087e
93800975084,7f951acd1bf098d22dd142b9d19f839376af2a26ade6838987d08a6cfef7892b
93800671848,8381c5bb9956956e775af977f52b3936fa10d1dd0d5acae2d022ea824176269f
93800408710,864b9d5123e307d1a815200d06873571f3692af10e758531e221a9e37bc3afe4
93800118413,872f8a45d83450560cfec0791ab498a2b5a2020e09085d4be90958842b906055
93800964163,877600087e689095338a4ac4ca68c2dbc130be8e93b2a51d94d8e5a72915c13b
93800657470,91ba4a49d164cace5f0a64fe03fc97fdf3d21ad7c931c3a83b49c2e5a7b88aaa
93800301422,91f708d6be64bdd5a8bf7e2e15e17e3c2ebaa373ec86ab95269f021200fa45fa
93800559973,955a5fdc29e269e918c144aa195d57616a4963afadc4327b48008132878b9c63
93800794894,98cecb56b50f24222ee8d386e016744dfef9ed37989a2e66cf6944ebfc16631b
93800898698,a4a7d3da4cc93d0a2a970df883daf3019a05296b83d7e742cfd35d37dc00e644
93800981898,a933d50c93f8bf7b1106c2d001136ba28db7ece5b54273ca5350690c19c4b067
93800195428,aac7f7e451f78e79c358b31a679c3516be0815a4d728299d564202125af90a93
93800159324,abb9dccc701e15829d18679566f18db61016cd46271f4b11eac43b15fd15e72e
93800454217,addbe157da675fe8cea2e748e0b0b38c47e4e41027012a77fd64a1e7d8939454
93800880838,b1c20d491bd6e82d57249577a671ef8a7025378e1bacae945554d6898a01f7cc
93800300465,b1ca13f41f7d2b0d8404b33ab2b2619dde3a4b2a67b371dfe5bc6ed8307bf0c5
93800176915,b4d86e6dc0e40be81895e20aabb3af298b8056881574f003f00544eb31675f41
93800806521,b605c351daa22e3765b3d0a6bdf3323be8a8b80b078f5fbbbc7e3652fb1e7ce6
93800793544,b921d77718282f30013f555894d18180f90adeb297e5d10c9af011a14407bc92
93800559091,bb09978bac45b5f33d72c69a6ccbcaae98ac8a49af1db3bd8286ad09de4d287f
93800622315,bb0eecf93432d6fcfd8d219e8520716378368750cad918071d7a5c458f70b2f6
93800216489,bd5e50a36c19cf0eaeefec6536df7f1716a5038e3d4fe2032c9cbd8536ca39e0
93800323735,bd5e50a36c19cf0eaeefec6536df7f1716a5038e3d4fe2032c9cbd8536ca39e0
93800579758,bd5e50a36c19cf0eaeefec6536df7f1716a5038e3d4fe2032c9cbd8536ca39e0
93800884897,bd8e2ccb3f19d8674c8a0f1bde1f0545033b6da3916c29a80f5c08b8cdb2e214
93800910039,bdb9135700afea5211ffe5435b26e9b3d9332d230b71e8811adc4467f3b87a7e
93800828472,bdd4c78ac22153d2fce086a7ac3fa3a0e5c8359ee99b3fc6930da0fc264fac2f
93800975252,bff9c31bb43bd9bb16af05b5d5c2463095834f285fb8639d56e2609e23f93ec9
93800693669,c00643a8714896d005d329fc666cbd62471a17a49ea854744772c90bf7098286
93800128047,c05fafc212632816f58f7204a8081e9c2cd9b8754401f3b3ec3e72f8e26073d7
93800310106,c1591e5588dff1ea27a8d8397f50e999c08d7be466c9785fa5a013661956e6e8
93800780802,c21bf2d8c6888200da5f283c261f45bd9efcc6993a3f154c478852fdf99b92e6
93800951611,c4228100cae5481d09c958b185a326d70ef35b93fa5ee4f5ecbbe22be58c0430
93800643702,c7b649d89ca8cfa464b588bc2942be0c9868d69efcb79804daa20c4cfa2d3c88
