start_point,end_point
93800862209,001e23ea10e4778c9cb0a1c9f4b0f431fd85fdbdecd83a1301f1069d707d2831
93800095853,02c799f9f6ac717c7aaca2a0d76f9b153b2e8d2bb754c00c747b6174720f8e7d
93800478952,02c799f9f6ac717c7aaca2a0d76f9b153b2e8d2bb754c00c747b6174720f8e7d
93800155415,0afbe2f76706fd88fa71d390ce870fdaac7ce0911d77b6e81f720ccdeafdcedd
93800360728,0dde89820a888d0f263982145b4fc98e43886b71a7f50aebfe35330ad1082ed2
93800931137,0ea8c7e8ca2cecd4cc4536412c66b8f58c445c5429a3f17f5b6ea548f6f8c50d
93800686529,0ea8c7e8ca2cecd4cc4536412c66b8f58c445c5429a3f17f5b6ea548f6f8c50d
93800413696,0f74dc02c7235027a90cc3c8980c199d5168019c09923a206fcdc716c1e9f4fe
93800943098,0f74dc02c7235027a90cc3c8980c199d5168019c09923a206fcdc716c1e9f4fe
93800456999,14eeac68e3b8052348dd67b2439f7f74b200b2f2250d3691ddc0e6e7ca2bf9d4
93800919713,14eeac68e3b8052348dd67b2439f7f74b200b2f2250d3691ddc0e6e7ca2bf9d4
93800149501,15bc1b403155a1c6d75d24e15dda42ee802008bfa0e516614428e3169c0be7f6
93800543372,15bc1b403155a1c6d75d24e15dda42ee802008bfa0e516614428e3169c0be7f6
93800975985,1ceb56c2cd20e8e35e8d3eac4a0bcd0484c997102f654cf08920ce72f98991bc
93800910110,1ceb56c2cd20e8e35e8d3eac4a0bcd0484c997102f654cf08920ce72f98991bc
93800771404,1ceb56c2cd20e8e35e8d3eac4a0bcd0484c997102f654cf08920ce72f98991bc
93800712336,1ceb56c2cd20e8e35e8d3eac4a0bcd0484c997102f654cf08920ce72f98991bc
93800215864,26af8dd8243e77307d05a1f4d3c9f191a17f70a7084abe7c78b64dd4dbd5f65c
93800265385,295805e53b18aea37b4a2fdab6722e3fbf88aec9a2e58ab6d78e1e0981640dd0
93800622380,30f5a13bdfea319638b116d0639a063f53654532450450408072b19ad5efc8bd
93800267385,33882b2b346a8683f00507121c42002addeef352a04979455e72dfa8cfea3d03
93800395792,37d2b550efe9302aad8eff0c14ac1f030342cb2cc510896cb76ff6599db330fd
93800241567,41f0e958be509d45108a4ebcf5403f5803712b5c3644b895c0d29ad296006220
93800559017,41f0e958be509d45108a4ebcf5403f5803712b5c3644b895c0d29ad296006220
93800417056,42d5e826f865e6fdb0ee9dfbd0c624cee014b435c1e071b468700c917fc99c47
93800178162,488f67219d5f8962fc0beb0eaf3ad1f246c3e9fab1d4183ee9e2119d042bd850
93800019267,488f67219d5f8962fc0beb0eaf3ad1f246c3e9fab1d4183ee9e2119d042bd850
93800966808,4a040559f3d26584d38d83c05fe4ee8c61b551ed68e02bb8390d9af87d61e382
93800885108,4a040559f3d26584d38d83c05fe4ee8c61b551ed68e02bb8390d9af87d61e382
93800095831,4a100221cffc44dc1be12a45b07a641e429e073b47006387a58d0945ae630b5e
93800036291,53ef4c49c7be13207ceba70592bf092112ee42e4d4c38bc26e88294e0caf875e
93800999928,53ef4c49c7be13207ceba70592bf092112ee42e4d4c38bc26e88294e0caf875e
93800461999,53ef4c49c7be13207ceba70592bf092112ee42e4d4c38bc26e88294e0caf875e
93800988060,5aff0a394deafa2cf8f1a6a72035d81f9346986a54ca925e2fff35777b2508c8
93800261333,5fe00d1393d66694c87b01b85bede7cb35f3df412143d4fb083b2709514aa3dd
93800575708,6403b652f07cf2c5c94ebc3b18a2db4658ebe910d72f8cd9fef857c55f06a6e5
